question_id,question_type,difficulty,answerable,hit_at_5,recall_at_5,mrr_rank,correctness,faithfulness,keyword_overlap,correct_abstention,latency_s,error
q001,direct_factual,easy,True,1,0.5000,1,2,2,0.3478,,4.24,
q002,direct_factual,easy,True,1,1.0000,1,2,0,0.56,,1.064,
q003,direct_factual,easy,True,1,1.0000,2,0,0,0.3846,,1.064,
q004,direct_factual,easy,True,0,0.0000,,0,0,0.4545,,1.604,
q005,direct_factual,easy,True,1,1.0000,4,0,0,0.625,,3.935,
q006,direct_factual,easy,True,1,1.0000,4,0,0,0.3462,,0.64,
q007,technical_concept,medium,True,1,1.0000,2,0,0,0.6429,,3.312,
q008,technical_concept,medium,True,0,0.0000,6,1,0,0.1395,,2.293,
q009,technical_concept,medium,True,1,0.5000,4,2,2,0.4054,,1.909,
q010,technical_concept,medium,True,1,0.5000,3,0,0,0.2439,,1.945,
q011,technical_concept,medium,True,1,1.0000,2,0,0,0.5641,,4.216,
q012,technical_concept,medium,True,0,0.0000,10,0,0,0.2195,,1.591,
q013,exact_terminology,easy,True,0,0.0000,,2,2,0.6,,1.183,
q014,exact_terminology,easy,True,1,0.3333,5,2,1,0.2,,1.167,
q015,exact_terminology,medium,True,0,0.0000,,0,0,0.1842,,0.744,
q016,exact_terminology,medium,True,1,0.5000,2,2,2,0.3333,,3.013,
q017,exact_terminology,easy,True,0,0.0000,8,0,0,0.1429,,1.301,
q018,comparison,hard,True,1,0.2500,3,0,0,0.3542,,5.836,
q019,comparison,medium,True,1,0.6667,3,1,2,0.3571,,6.713,
q020,comparison,hard,True,1,0.2000,2,0,0,0.2,,4.578,
q021,comparison,medium,True,1,0.5000,1,2,1,0.3261,,5.135,
q022,comparison,medium,True,0,0.0000,10,2,2,0.2558,,3.859,
q023,multi_hop_reasoning,hard,True,1,0.3333,1,2,2,0.5862,,5.987,
q024,multi_hop_reasoning,hard,True,0,0.0000,,2,2,0.4423,,4.496,
q025,multi_hop_reasoning,hard,True,1,0.2500,1,2,2,0.4032,,4.29,
q026,multi_hop_reasoning,hard,True,1,0.4000,1,1,0,0.3548,,8.504,
q027,multi_hop_reasoning,hard,True,1,0.2000,1,0,0,0.25,,3.862,
q028,figure_related,medium,True,1,0.3333,1,2,1,0.5111,,4.817,
q029,figure_related,hard,True,1,1.0000,2,2,2,0.4884,,6.259,
q030,figure_related,medium,True,1,0.6667,4,1,0,0.6216,,5.899,
q031,figure_related,hard,True,1,0.5000,1,0,0,0.2766,,7.019,
q032,figure_related,medium,True,1,0.5000,1,2,2,0.3659,,4.434,
q033,numerical_experimental,medium,True,1,1.0000,2,2,2,1.0,,2.403,
q034,numerical_experimental,hard,True,1,1.0000,1,2,2,0.8824,,4.385,
q035,numerical_experimental,medium,True,1,1.0000,1,2,2,0.8571,,1.789,
q036,numerical_experimental,medium,True,1,1.0000,1,0,0,0.4828,,2.282,
q037,unanswerable,easy,False,,,,,,,True,1.662,
q038,unanswerable,medium,False,,,,,,,True,2.749,
q039,unanswerable,medium,False,,,,,,,True,1.679,
q040,unanswerable,medium,False,,,,,,,True,1.65,
