question_id,question_type,difficulty,answerable,v1_hit5,bm25_hit5,hybrid_hit5,v2_hit5,v1_mrr,bm25_mrr,hybrid_mrr,v2_mrr,v1_correctness,v2_correctness,v1_faithfulness,v2_faithfulness,status_change
q001,direct_factual,easy,True,1,1,1,1,1.0,0.5,1.0,1.0,2,0,2,0,regressed
q002,direct_factual,easy,True,1,1,1,1,1.0,1.0,1.0,1.0,2,2,0,2,neutral
q003,direct_factual,easy,True,1,1,1,1,0.5,0.3333,0.5,1.0,0,0,0,0,neutral
q004,direct_factual,easy,True,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,neutral
q005,direct_factual,easy,True,1,1,1,1,0.25,1.0,1.0,1.0,0,0,0,0,neutral
q006,direct_factual,easy,True,1,1,1,1,0.25,0.5,1.0,1.0,0,0,0,0,neutral
q007,technical_concept,medium,True,1,1,1,1,0.5,1.0,1.0,0.5,0,0,0,0,neutral
q008,technical_concept,medium,True,0,0,1,1,0.1667,0.1667,0.25,0.3333,1,2,0,0,improved
q009,technical_concept,medium,True,1,1,1,1,0.25,0.5,0.3333,1.0,2,0,2,0,regressed
q010,technical_concept,medium,True,1,1,1,1,0.3333,0.5,0.5,0.5,0,2,0,1,improved
q011,technical_concept,medium,True,1,1,1,1,0.5,0.3333,1.0,1.0,0,0,0,0,neutral
q012,technical_concept,medium,True,0,1,1,1,0.1,1.0,1.0,0.3333,0,0,0,0,neutral
q013,exact_terminology,easy,True,0,1,0,0,0.0,0.3333,0.0,0.0,2,2,2,2,neutral
q014,exact_terminology,easy,True,1,1,1,1,0.2,0.5,0.5,0.2,2,2,1,2,neutral
q015,exact_terminology,medium,True,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,neutral
q016,exact_terminology,medium,True,1,1,1,1,0.5,0.25,0.5,0.25,2,0,2,0,regressed
q017,exact_terminology,easy,True,0,1,1,1,0.125,1.0,0.3333,1.0,0,2,0,2,improved
q018,comparison,hard,True,1,1,1,1,0.3333,0.5,1.0,0.3333,0,0,0,0,neutral
q019,comparison,medium,True,1,1,1,1,0.3333,0.5,0.5,1.0,1,0,2,0,regressed
q020,comparison,hard,True,1,1,1,1,0.5,0.25,0.3333,0.5,0,0,0,1,neutral
q021,comparison,medium,True,1,1,1,1,1.0,1.0,1.0,1.0,2,2,1,2,neutral
q022,comparison,medium,True,0,1,1,0,0.1,0.25,0.2,0.1429,2,2,2,0,neutral
q023,multi_hop_reasoning,hard,True,1,1,1,1,1.0,0.5,1.0,1.0,2,2,2,2,neutral
q024,multi_hop_reasoning,hard,True,0,1,1,1,0.0,1.0,0.2,0.25,2,2,2,2,neutral
q025,multi_hop_reasoning,hard,True,1,1,1,1,1.0,0.25,1.0,0.3333,2,2,2,2,neutral
q026,multi_hop_reasoning,hard,True,1,1,1,1,1.0,1.0,1.0,1.0,1,2,0,1,improved
q027,multi_hop_reasoning,hard,True,1,0,0,0,1.0,0.0,0.1667,0.0,0,2,0,2,improved
q028,figure_related,medium,True,1,1,1,1,1.0,1.0,1.0,1.0,2,1,1,2,regressed
q029,figure_related,hard,True,1,0,1,0,0.5,0.0,0.3333,0.1,2,1,2,0,regressed
q030,figure_related,medium,True,1,1,1,1,0.25,1.0,1.0,0.3333,1,2,0,1,improved
q031,figure_related,hard,True,1,1,1,1,1.0,0.2,0.5,0.25,0,0,0,0,neutral
q032,figure_related,medium,True,1,1,1,1,1.0,1.0,1.0,1.0,2,1,2,2,regressed
q033,numerical_experimental,medium,True,1,0,1,1,0.5,0.1667,0.5,1.0,2,0,2,0,regressed
q034,numerical_experimental,hard,True,1,1,1,1,1.0,0.5,1.0,1.0,2,2,2,2,neutral
q035,numerical_experimental,medium,True,1,1,1,1,1.0,1.0,1.0,1.0,2,0,2,0,regressed
q036,numerical_experimental,medium,True,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,neutral
q037,unanswerable,easy,False,,,,,,,,,,,,,neutral
q038,unanswerable,medium,False,,,,,,,,,,,,,neutral
q039,unanswerable,medium,False,,,,,,,,,,,,,neutral
q040,unanswerable,medium,False,,,,,,,,,,,,,neutral
